public_food_id_compound_id_name,contribution
FOOD00016 _ FDB010508 _ 4-Hydroxybenzoic acid,1.93E-05
FOOD00016 _ FDB010557 _ trans-Sinapic acid,1.93E-05
FOOD00016 _ FDB011258 _ o-Coumaric acid,1.38E-05
FOOD00016 _ FDB011856 _ L-Histidine,0.010056683
FOOD00016 _ FDB011999 _ L-Threonine,0.011691418
FOOD00016 _ FDB012160 _ Riboflavine,2.26E-05
FOOD00016 _ FDB012397 _ L-Isoleucine,0.013672082
FOOD00016 _ FDB012462 _ alpha-Linolenic acid,9.63E-05
FOOD00016 _ FDB012535 _ L-Glutamic acid,0.082480206
FOOD00016 _ FDB012563 _ L-Cystine,0.004724708
FOOD00016 _ FDB012567 _ L-Aspartic acid,0.047362624
FOOD00016 _ FDB012683 _ L-Methionine,0.004167647
FOOD00016 _ FDB012739 _ L-Serine,0.01930597
"FOOD00016 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.23310969
FOOD00016 _ FDB012801 _ Ferulic acid,6.19E-05
FOOD00016 _ FDB012858 _ Oleic acid,0.324357772
FOOD00016 _ FDB013400 _ Selenium,2.75E-08
FOOD00016 _ FDB014504 _ Folic acid,2.75E-06
FOOD00016 _ FDB014613 _ beta-Carotene,0.000300538
FOOD00016 _ FDB016251 _ Iron,0.000162992
FOOD00016 _ FDB019141 _ Phosphatidylcholine,0.008252766
FOOD00017 _ FDB000446 _ L-Tyrosine,0.001022908
FOOD00017 _ FDB000474 _ L-Lysine,0.00380749
FOOD00017 _ FDB000484 _ Glycine,0.001761675
FOOD00017 _ FDB000556 _ L-Alanine,0.001420705
FOOD00017 _ FDB001014 _ Nicotinic acid,1.70E-05
FOOD00017 _ FDB001141 _ Inulin,0.568282107
FOOD00017 _ FDB001224 _ L-Ascorbic acid,0.000171432
FOOD00017 _ FDB001442 _ (-)-Arctigenin,0.000315586
FOOD00017 _ FDB001444 _ (-)-Arctiin,0.056828211
FOOD00017 _ FDB001946 _ L-Leucine,0.001818503
FOOD00017 _ FDB002250 _ L-Tryptophan,0.000340969
FOOD00017 _ FDB002257 _ Arginine,0.005966962
FOOD00017 _ FDB002558 _ Caffeic acid,0.004735684
FOOD00017 _ FDB003513 _ Calcium,0.008448461
FOOD00017 _ FDB003516 _ Chromium,3.79E-05
FOOD00017 _ FDB003520 _ Phosphorus,0.004622028
FOOD00017 _ FDB003521 _ Potassium,0.01882908
FOOD00017 _ FDB003523 _ Sodium,0.001487005
FOOD00017 _ FDB003570 _ Aluminum,0.000437577
FOOD00017 _ FDB003581 _ Cobalt,0.000227313
FOOD00017 _ FDB003582 _ Copper,5.49E-05
FOOD00017 _ FDB003636 _ Manganese,0.000108921
FOOD00017 _ FDB003713 _ Silicon,0.000426212
FOOD00017 _ FDB003722 _ Tin,3.98E-05
FOOD00017 _ FDB003729 _ Zinc,5.78E-05
FOOD00017 _ FDB003780 _ Mercury,2.41E-06
FOOD00017 _ FDB004090 _ Atropine,5.68E-05
FOOD00017 _ FDB011856 _ L-Histidine,0.001761675
FOOD00017 _ FDB011999 _ L-Threonine,0.001477533
FOOD00017 _ FDB012160 _ Riboflavine,3.69E-06
FOOD00017 _ FDB012397 _ L-Isoleucine,0.001704846
FOOD00017 _ FDB012462 _ alpha-Linolenic acid,0.012502206
FOOD00017 _ FDB012535 _ L-Glutamic acid,0.008922029
FOOD00017 _ FDB012563 _ L-Cystine,0.000340969
FOOD00017 _ FDB012567 _ L-Aspartic acid,0.010058593
FOOD00017 _ FDB012683 _ L-Methionine,0.000511454
FOOD00017 _ FDB012739 _ L-Serine,0.001420705
"FOOD00017 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.21566306
FOOD00017 _ FDB012858 _ Oleic acid,0.062511032
FOOD00017 _ FDB014417 _ (-)-Matairesinol,0.000388326
FOOD00017 _ FDB014613 _ beta-Carotene,8.52E-06
FOOD00017 _ FDB016251 _ Iron,0.001399868
FOOD00018 _ FDB000844 _ Gentisic acid,0.000360237
FOOD00018 _ FDB000846 _ Vanillic acid,0.001080712
FOOD00018 _ FDB001014 _ Nicotinic acid,0.00028819
